0,1,403,342,279,94,fire0
1,3,427,340,279,94,fire0,573,292,120,60,fire1,622,273,61,70,fire2
2,3,425,334,293,99,fire0,576,297,120,60,fire1,625,273,61,70,fire2
3,3,438,331,279,94,fire0,570,294,126,63,fire1,633,269,61,70,fire2
4,3,443,336,266,90,fire0,575,295,126,63,fire1,632,267,61,70,fire2
5,3,427,334,279,94,fire0,578,294,126,63,fire1,630,266,64,74,fire2
6,3,427,332,279,94,fire0,579,291,126,63,fire1,631,266,64,74,fire2
7,3,435,330,279,94,fire0,586,293,126,63,fire1,631,261,67,77,fire2
8,3,442,329,279,94,fire0,585,288,126,63,fire1,632,263,67,77,fire2
9,3,444,328,279,94,fire0,581,296,132,66,fire1,635,273,67,77,fire2
10,3,446,320,279,94,fire0,587,298,126,63,fire1,634,285,71,81,fire2
11,3,429,325,293,99,fire0,579,334,126,63,fire1,631,293,71,81,fire2
12,3,425,332,293,99,fire0,566,346,132,66,fire1,628,307,74,85,fire2
13,3,432,328,293,99,fire0,552,352,139,69,fire1,625,325,74,85,fire2
14,3,429,333,293,99,fire0,557,353,139,69,fire1,623,330,74,85,fire2
15,3,428,336,293,99,fire0,557,352,139,69,fire1,626,328,74,85,fire2
16,3,437,328,293,99,fire0,552,349,146,73,fire1,627,325,74,85,fire2
17,3,435,329,293,99,fire0,548,349,146,73,fire1,631,318,71,81,fire2
18,3,435,325,293,99,fire0,537,349,153,77,fire1,632,319,71,81,fire2
19,3,431,324,293,99,fire0,510,352,153,77,fire1,627,315,74,85,fire2
20,3,433,323,293,99,fire0,509,348,153,77,fire1,631,320,71,81,fire2
21,3,411,323,308,104,fire0,542,339,161,80,fire1,629,327,71,81,fire2
22,3,408,325,323,109,fire0,539,338,169,84,fire1,629,341,67,77,fire2
23,3,403,330,323,109,fire0,542,346,161,80,fire1,626,348,67,77,fire2
24,3,409,330,323,109,fire0,543,353,161,80,fire1,611,356,67,77,fire2
25,3,424,330,323,109,fire0,544,356,161,80,fire1,604,362,67,77,fire2
26,3,438,330,308,104,fire0,545,358,161,80,fire1,597,364,67,77,fire2
27,3,452,332,293,99,fire0,543,357,169,84,fire1,601,362,71,81,fire2
28,3,453,333,293,99,fire0,546,360,169,84,fire1,590,372,67,77,fire2
29,3,454,337,293,99,fire0,545,352,177,89,fire1,589,375,67,77,fire2
30,3,435,336,308,104,fire0,550,354,169,84,fire1,589,373,67,77,fire2
31,3,439,341,308,104,fire0,547,354,177,88,fire1,596,373,67,77,fire2
32,3,427,344,323,109,fire0,540,360,177,88,fire1,601,377,67,77,fire2
33,3,420,344,323,109,fire0,536,360,177,88,fire1,605,378,67,77,fire2
34,3,423,346,323,109,fire0,540,357,177,88,fire1,613,380,67,77,fire2
35,3,433,343,323,109,fire0,545,354,177,88,fire1,608,384,64,73,fire2
36,3,443,339,323,109,fire0,543,351,177,88,fire1,623,386,61,70,fire2
37,3,437,335,340,115,fire0,547,349,177,88,fire1,631,379,61,70,fire2
38,3,432,330,357,120,fire0,549,346,177,88,fire1,630,378,61,70,fire2
39,3,435,327,357,120,fire0,558,350,177,88,fire1,631,379,58,67,fire2
40,3,438,329,340,115,fire0,554,346,186,93,fire1,624,377,58,67,fire2
41,3,439,329,340,115,fire0,550,344,186,93,fire1,623,376,55,63,fire2
42,3,443,328,340,115,fire0,541,341,196,97,fire1,624,368,58,67,fire2
43,3,437,327,340,115,fire0,536,340,196,97,fire1,618,362,55,63,fire2
44,3,429,324,357,120,fire0,542,342,186,93,fire1,630,369,55,63,fire2
45,3,424,323,357,120,fire0,543,339,186,93,fire1,646,364,58,67,fire2
46,3,426,324,357,120,fire0,549,339,177,88,fire1,645,360,61,70,fire2
47,3,426,324,357,120,fire0,559,335,169,84,fire1,648,345,61,70,fire2
48,3,424,323,357,120,fire0,562,334,169,84,fire1,646,339,61,70,fire2
49,3,417,324,357,120,fire0,551,335,177,88,fire1,623,361,58,67,fire2
50,3,425,322,340,115,fire0,540,332,186,93,fire1,605,359,61,70,fire2
51,3,431,325,323,109,fire0,534,336,186,93,fire1,581,372,61,70,fire2
